=================================================================
  EDR Agent Active: Process Anomaly Detector & Heuristics ON
=================================================================

[⚙️ PROC_LAUNCH]  PID: 1 | Parent PID: 0 (<unknown>) | App: [systemd]
[⚙️ PROC_LAUNCH]  PID: 2 | Parent PID: 0 (<unknown>) | App: [kthreadd]
[⚙️ PROC_LAUNCH]  PID: 3 | Parent PID: 2 (kthreadd) | App: [pool_workqueue_release]
[⚙️ PROC_LAUNCH]  PID: 4 | Parent PID: 2 (kthreadd) | App: [kworker/R-rcu_gp]
[⚙️ PROC_LAUNCH]  PID: 5 | Parent PID: 2 (kthreadd) | App: [kworker/R-sync_wq]
[⚙️ PROC_LAUNCH]  PID: 6 | Parent PID: 2 (kthreadd) | App: [kworker/R-kvfree_rcu_reclaim]
[⚙️ PROC_LAUNCH]  PID: 7 | Parent PID: 2 (kthreadd) | App: [kworker/R-slub_flushwq]
[⚙️ PROC_LAUNCH]  PID: 8 | Parent PID: 2 (kthreadd) | App: [kworker/R-netns]
[⚙️ PROC_LAUNCH]  PID: 10 | Parent PID: 2 (kthreadd) | App: [kworker/0:0H-events_highpri]
[⚙️ PROC_LAUNCH]  PID: 12 | Parent PID: 2 (kthreadd) | App: [kworker/u20:0-ipv6_addrconf]
[⚙️ PROC_LAUNCH]  PID: 13 | Parent PID: 2 (kthreadd) | App: [kworker/R-mm_percpu_wq]
[⚙️ PROC_LAUNCH]  PID: 14 | Parent PID: 2 (kthreadd) | App: [ksoftirqd/0]
[⚙️ PROC_LAUNCH]  PID: 15 | Parent PID: 2 (kthreadd) | App: [rcu_preempt]
[⚙️ PROC_LAUNCH]  PID: 16 | Parent PID: 2 (kthreadd) | App: [rcu_exp_par_gp_kthread_worker/0]
[⚙️ PROC_LAUNCH]  PID: 17 | Parent PID: 2 (kthreadd) | App: [rcu_exp_gp_kthread_worker]
[⚙️ PROC_LAUNCH]  PID: 18 | Parent PID: 2 (kthreadd) | App: [migration/0]
[⚙️ PROC_LAUNCH]  PID: 19 | Parent PID: 2 (kthreadd) | App: [idle_inject/0]
[⚙️ PROC_LAUNCH]  PID: 20 | Parent PID: 2 (kthreadd) | App: [cpuhp/0]
[⚙️ PROC_LAUNCH]  PID: 21 | Parent PID: 2 (kthreadd) | App: [cpuhp/1]
[⚙️ PROC_LAUNCH]  PID: 22 | Parent PID: 2 (kthreadd) | App: [idle_inject/1]
[⚙️ PROC_LAUNCH]  PID: 23 | Parent PID: 2 (kthreadd) | App: [migration/1]
[⚙️ PROC_LAUNCH]  PID: 24 | Parent PID: 2 (kthreadd) | App: [ksoftirqd/1]
[⚙️ PROC_LAUNCH]  PID: 27 | Parent PID: 2 (kthreadd) | App: [cpuhp/2]
[⚙️ PROC_LAUNCH]  PID: 28 | Parent PID: 2 (kthreadd) | App: [idle_inject/2]
[⚙️ PROC_LAUNCH]  PID: 29 | Parent PID: 2 (kthreadd) | App: [migration/2]
[⚙️ PROC_LAUNCH]  PID: 30 | Parent PID: 2 (kthreadd) | App: [ksoftirqd/2]
